name,city,source,link,min_salary,max_salary,currency
Вечерняя уборщица/вечерний уборщик офисных помещений (ул.Волгоградская),Минск,HH.RU,https://hh.ru/vacancy/42300284?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Дворник,Самара,HH.RU,https://hh.ru/vacancy/42727750?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,13930.0,,руб.
Клинер,Москва,HH.RU,https://hh.ru/vacancy/42277380?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,12000.0,12000.0,руб.
Уборщик помещений,Архангельск,HH.RU,https://hh.ru/vacancy/42829172?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,20000.0,руб.
Дворник,Владивосток,HH.RU,https://hh.ru/vacancy/42825440?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42882027?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,40000.0,руб.
Уборщик служебных помещений,Нижний Новгород,HH.RU,https://hh.ru/vacancy/42871816?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,13000.0,16000.0,руб.
Дворник в г. Очер,Очер,HH.RU,https://hh.ru/vacancy/42707516?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,4000.0,руб.
Уборщик помещений,Москва,HH.RU,https://hh.ru/vacancy/42870928?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,,руб.
Уборщик офисных помещений,Москва,HH.RU,https://hh.ru/vacancy/42587877?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,12000.0,43000.0,руб.
Уборщик,Минск,HH.RU,https://hh.ru/vacancy/42455141?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,500.0,,бел.руб.
Уборщик помещения / Специалист АХО,Подольск (Московская область),HH.RU,https://hh.ru/vacancy/42374444?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,25000.0,25000.0,руб.
Уборщик помещений,Москва,HH.RU,https://hh.ru/vacancy/42877334?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,35000.0,руб.
Уборщица /уборщик офисных помещений (утренняя),Москва,HH.RU,https://hh.ru/vacancy/40716045?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,24100.0,24100.0,руб.
